ID, Ano Nascimento, Escolaridade, Estado Civil, Renda Anual, Vinhos, Carnes, Compras em Sites, Compras em Lojas Físicas
10250, 1947, Basic, Together, 28389.0, 1, 5, 1, 0
5043, 1951, Basic, Married, 26997.0, 7, 23, 2, 2
9316, 1952, Basic, Together, 13084.0, 2, 0, 1, 0
3839, 1958, Basic, Single, 15056.0, 6, 12, 5, 2
954, 1960, Basic, Widow, 22123.0, 3, 3, 1, 1
2563, 1961, Basic, Married, 28249.0, 1, 9, 1, 0
8312, 1961, Basic, Married, 28249.0, 1, 9, 1, 0
3850, 1963, Basic, Together, 14918.0, 3, 3, 1, 0
1744, 1965, Basic, Single, 23529.0, 9, 7, 1, 1
524, 1966, Basic, Together, 22634.0, 2, 23, 1, 1
880, 1966, Basic, Together, 22634.0, 2, 23, 1, 1
2686, 1969, Basic, Together, 22390.0, 0, 1, 1, 0
1646, 1972, Basic, Married, 25224.0, 4, 9, 2, 1
5802, 1972, Basic, Married, 14188.0, 2, 7, 1, 0
8234, 1973, Basic, Together, 27190.0, 1, 6, 1, 0
7349, 1973, Basic, Together, 9722.0, 6, 17, 4, 1
6682, 1973, Basic, Married, 18978.0, 2, 8, 1, 0
6398, 1974, Basic, Married, 18393.0, 7, 10, 2, 0
2457, 1975, Basic, Married, 30801.0, 8, 4, 2, 0
387, 1976, Basic, Married, 7500.0, 6, 16, 1, 0
5342, 1976, Basic, Divorced, 9548.0, 0, 1, 2, 0
9733, 1978, Basic, Together, 24882.0, 1, 4, 1, 1
8462, 1978, Basic, Together, 24882.0, 1, 4, 1, 1
11187, 1978, Basic, Single, 26487.0, 2, 8, 3, 1
5394, 1979, Basic, Single, 16014.0, 3, 9, 4, 1
5150, 1979, Basic, Single, 20194.0, 0, 4, 2, 0
8686, 1979, Basic, Together, 23724.0, 5, 23, 2, 0
6347, 1979, Basic, Single, 15862.0, 1, 1, 1, 0
8373, 1979, Basic, Together, 24594.0, 1, 3, 1, 0
3829, 1979, Basic, Together, 24594.0, 1, 3, 1, 0
1777, 1980, Basic, Married, 25965.0, 2, 2, 1, 0
642, 1980, Basic, Married, 16005.0, 1, 3, 3, 1
1951, 1981, Basic, Married, 34445.0, 228, 122, 6, 2
4669, 1981, Basic, Married, 24480.0, 4, 19, 3, 0
5181, 1982, Basic, Single, 24367.0, 2, 4, 1, 0
11086, 1984, Basic, Single, 25707.0, 1, 6, 1, 0
8977, 1985, Basic, Single, 16581.0, 1, 3, 1, 0
8700, 1986, Basic, Single, 14906.0, 7, 7, 3, 1
4211, 1986, Basic, Married, 20425.0, 4, 12, 2, 0
1407, 1986, Basic, Married, 20425.0, 4, 12, 2, 0
10395, 1986, Basic, Single, 8940.0, 1, 45, 3, 1
1987, 1987, Basic, Single, 21063.0, 1, 10, 2, 0
3628, 1987, Basic, Single, 15038.0, 4, 8, 2, 1
10069, 1988, Basic, Together, 13724.0, 2, 7, 1, 0
6516, 1989, Basic, Married, 17487.0, 0, 0, 1, 0
5692, 1989, Basic, Married, 25443.0, 1, 4, 1, 0
8151, 1990, Basic, Married, 24279.0, 16, 36, 1, 1
7620, 1990, Basic, Single, 16185.0, 5, 11, 2, 2
9960, 1991, Basic, Single, 26868.0, 0, 0, 1, 0
1384, 1992, Basic, Married, 17256.0, 6, 4, 2, 1
4055, 1992, Basic, Single, 18746.0, 2, 10, 2, 0
4136, 1992, Basic, Single, 7500.0, 10, 17, 4, 2
7600, 1992, Basic, Single, 15253.0, 1, 3, 2, 0
193, 1996, Basic, Married, 14421.0, 0, 0, 1, 0
11004, 1893, 2n Cycle, Single, 60182.0, 8, 0, 1, 0
7829, 1900, 2n Cycle, Divorced, 36640.0, 15, 6, 1, 1
2079, 1947, 2n Cycle, Married, 81044.0, 450, 26, 1, 6
7313, 1949, 2n Cycle, Widow, 74859.0, 570, 73, 1, 5
6181, 1950, 2n Cycle, Together, 52203.0, 488, 21, 1, 7
4646, 1951, 2n Cycle, Married, 78497.0, 207, 26, 1, 7
6935, 1951, 2n Cycle, Married, 78497.0, 207, 26, 1, 7
4756, 1952, 2n Cycle, Divorced, 63998.0, 176, 29, 1, 6
11096, 1952, 2n Cycle, Together, 57247.0, 99, 4, 2, 1
3921, 1952, 2n Cycle, Widow, 28457.0, 24, 1, 1, 1
8957, 1952, 2n Cycle, Single, 64831.0, 480, 86, 8, 3
2625, 1954, 2n Cycle, Single, 42607.0, 156, 29, 2, 2
4073, 1954, 2n Cycle, Married, 63564.0, 769, 80, 1, 10
9847, 1955, 2n Cycle, Married, 62972.0, 313, 15, 2, 4
607, 1955, 2n Cycle, Divorced, 41769.0, 302, 29, 6, 1
9094, 1955, 2n Cycle, Married, 62972.0, 313, 15, 2, 4
7143, 1955, 2n Cycle, Together, 74805.0, 209, 162, 5, 7
3433, 1955, 2n Cycle, Married, 72635.0, 390, 22, 1, 8
6583, 1955, 2n Cycle, Married, 72635.0, 390, 22, 1, 8
4915, 1956, 2n Cycle, Married, 53230.0, 176, 72, 4, 2
7514, 1956, 2n Cycle, Together, 54342.0, 84, 10, 4, 1
2488, 1956, 2n Cycle, Divorced, 31395.0, 23, 1, 4, 1
5596, 1956, 2n Cycle, Together, 58821.0, 513, 14, 1, 2
4856, 1957, 2n Cycle, Married, 82347.0, 556, 54, 1, 7
1627, 1957, 2n Cycle, Divorced, 77297.0, 408, 61, 1, 7
8207, 1957, 2n Cycle, Married, 53233.0, 28, 0, 1, 0
8722, 1957, 2n Cycle, Married, 82347.0, 556, 54, 1, 7
946, 1958, 2n Cycle, Together, 26490.0, 45, 47, 2, 1
2499, 1958, 2n Cycle, Single, 75342.0, 204, 97, 1, 2
125, 1958, 2n Cycle, Together, 53083.0, 215, 7, 6, 1
9400, 1958, 2n Cycle, Single, 85485.0, 630, 26, 1, 6
8418, 1958, 2n Cycle, Single, 38741.0, 7, 10, 2, 0
2227, 1958, 2n Cycle, Together, 26490.0, 45, 47, 2, 1
10390, 1959, 2n Cycle, Married, 26887.0, 6, 7, 1, 0
6357, 1959, 2n Cycle, Divorced, 59052.0, 230, 35, 3, 1
5989, 1959, 2n Cycle, Divorced, 78353.0, 752, 122, 1, 2
3619, 1960, 2n Cycle, Divorced, 87305.0, 345, 25, 1, 3
1473, 1960, 2n Cycle, Single, 47823.0, 53, 1, 2, 0
5332, 1960, 2n Cycle, Married, 82504.0, 362, 50, 1, 6
2166, 1960, 2n Cycle, Widow, 46779.0, 12, 1, 1, 1
5832, 1960, 2n Cycle, Together, 92556.0, 493, 183, 0, 5
9140, 1960, 2n Cycle, Together, 50523.0, 51, 4, 2, 0
4376, 1960, 2n Cycle, Single, 32218.0, 10, 24, 1, 1
7342, 1961, 2n Cycle, Widow, 59184.0, 341, 142, 3, 6
7960, 1962, 2n Cycle, Together, 82122.0, 734, 22, 1, 9
5341, 1962, 2n Cycle, Divorced, 81975.0, 983, 76, 1, 3
5117, 1963, 2n Cycle, Married, 32632.0, 63, 151, 2, 4
4279, 1963, 2n Cycle, Single, 39548.0, 15, 4, 2, 1
8985, 1964, 2n Cycle, Together, 68316.0, 806, 80, 5, 7
8726, 1964, 2n Cycle, Divorced, 41713.0, 77, 8, 5, 1
2118, 1964, 2n Cycle, Married, 62905.0, 166, 75, 3, 2
